raw_score,weighted,section
0,10,reading
1,10,reading
2,10,reading
3,10,reading
4,11,reading
5,12,reading
6,13,reading
7,14,reading
8,15,reading
9,15,reading
10,16,reading
11,17,reading
12,17,reading
13,18,reading
14,19,reading
15,19,reading
16,20,reading
17,20,reading
18,21,reading
19,22,reading
20,22,reading
21,23,reading
22,24,reading
23,24,reading
24,25,reading
25,25,reading
26,26,reading
27,27,reading
28,27,reading
29,28,reading
30,28,reading
31,29,reading
32,29,reading
33,30,reading
34,30,reading
35,31,reading
36,31,reading
37,32,reading
38,32,reading
39,33,reading
40,33,reading
41,34,reading
42,34,reading
43,35,reading
44,35,reading
45,36,reading
46,36,reading
47,37,reading
48,37,reading
49,38,reading
50,39,reading
51,39,reading
52,40,reading
0,10,writing
1,10,writing
2,10,writing
3,11,writing
4,12,writing
5,13,writing
6,13,writing
7,14,writing
8,15,writing
9,16,writing
10,17,writing
11,18,writing
12,18,writing
13,19,writing
14,20,writing
15,20,writing
16,21,writing
17,22,writing
18,22,writing
19,23,writing
20,23,writing
21,24,writing
22,25,writing
23,25,writing
24,26,writing
25,26,writing
26,27,writing
27,27,writing
28,28,writing
29,29,writing
30,29,writing
31,30,writing
32,30,writing
33,31,writing
34,31,writing
35,32,writing
36,33,writing
37,33,writing
38,34,writing
39,35,writing
40,35,writing
41,36,writing
42,38,writing
43,39,writing
44,40,writing
0,20,math
1,21,math
2,22,math
3,23,math
4,25,math
5,26,math
6,28,math
7,29,math
8,31,math
9,32,math
10,34,math
11,35,math
12,36,math
13,38,math
14,39,math
15,40,math
16,42,math
17,43,math
18,44,math
19,45,math
20,46,math
21,47,math
22,48,math
23,49,math
24,50,math
25,51,math
26,52,math
27,52,math
28,53,math
29,54,math
30,54,math
31,55,math
32,56,math
33,57,math
34,58,math
35,59,math
36,59,math
37,60,math
38,61,math
39,62,math
40,63,math
41,64,math
42,65,math
43,65,math
44,66,math
45,67,math
46,68,math
47,69,math
48,70,math
49,71,math
50,72,math
51,73,math
52,74,math
53,75,math
54,77,math
55,78,math
56,79,math
57,80,math
58,80,math
