raw_score,weighted,section
0,10,reading
1,10,reading
2,10,reading
3,11,reading
4,12,reading
5,13,reading
6,14,reading
7,14,reading
8,15,reading
9,16,reading
10,17,reading
11,17,reading
12,18,reading
13,18,reading
14,19,reading
15,19,reading
16,20,reading
17,20,reading
18,21,reading
19,21,reading
20,21,reading
21,22,reading
22,23,reading
23,23,reading
24,24,reading
25,24,reading
26,25,reading
27,25,reading
28,26,reading
29,26,reading
30,27,reading
31,27,reading
32,28,reading
33,28,reading
34,29,reading
35,30,reading
36,30,reading
37,31,reading
38,31,reading
39,32,reading
40,32,reading
41,33,reading
42,34,reading
43,34,reading
44,35,reading
45,36,reading
46,37,reading
47,38,reading
48,38,reading
49,39,reading
50,39,reading
51,40,reading
52,40,reading
0,10,writing
1,10,writing
2,10,writing
3,11,writing
4,12,writing
5,13,writing
6,13,writing
7,14,writing
8,15,writing
9,16,writing
10,16,writing
11,17,writing
12,18,writing
13,18,writing
14,19,writing
15,20,writing
16,20,writing
17,21,writing
18,21,writing
19,22,writing
20,23,writing
21,23,writing
22,24,writing
23,24,writing
24,25,writing
25,26,writing
26,26,writing
27,27,writing
28,28,writing
29,28,writing
30,29,writing
31,29,writing
32,30,writing
33,31,writing
34,31,writing
35,32,writing
36,33,writing
37,33,writing
38,34,writing
39,35,writing
40,36,writing
41,37,writing
42,38,writing
43,39,writing
44,40,writing
0,20,math
1,20,math
2,21,math
3,23,math
4,24,math
5,25,math
6,27,math
7,28,math
8,29,math
9,30,math
10,32,math
11,33,math
12,34,math
13,35,math
14,36,math
15,38,math
16,39,math
17,40,math
18,41,math
19,42,math
20,44,math
21,45,math
22,46,math
23,47,math
24,48,math
25,49,math
26,50,math
27,51,math
28,51,math
29,52,math
30,53,math
31,53,math
32,54,math
33,55,math
34,55,math
35,56,math
36,57,math
37,58,math
38,58,math
39,59,math
40,60,math
41,60,math
42,61,math
43,62,math
44,63,math
45,64,math
46,65,math
47,66,math
48,67,math
49,68,math
50,69,math
51,70,math
52,71,math
53,72,math
54,74,math
55,75,math
56,77,math
57,78,math
58,80,math
