raw_score,weighted,section
0,10,reading
1,10,reading
2,10,reading
3,11,reading
4,12,reading
5,13,reading
6,14,reading
7,15,reading
8,16,reading
9,17,reading
10,17,reading
11,18,reading
12,19,reading
13,19,reading
14,20,reading
15,20,reading
16,21,reading
17,22,reading
18,22,reading
19,23,reading
20,23,reading
21,23,reading
22,24,reading
23,24,reading
24,25,reading
25,25,reading
26,25,reading
27,26,reading
28,26,reading
29,27,reading
30,27,reading
31,27,reading
32,28,reading
33,28,reading
34,29,reading
35,29,reading
36,30,reading
37,30,reading
38,31,reading
39,31,reading
40,32,reading
41,32,reading
42,33,reading
43,33,reading
44,34,reading
45,35,reading
46,35,reading
47,36,reading
48,37,reading
49,38,reading
50,39,reading
51,40,reading
52,40,reading
0,10,writing
1,10,writing
2,10,writing
3,11,writing
4,12,writing
5,12,writing
6,13,writing
7,14,writing
8,15,writing
9,16,writing
10,16,writing
11,17,writing
12,17,writing
13,18,writing
14,19,writing
15,20,writing
16,20,writing
17,21,writing
18,21,writing
19,22,writing
20,23,writing
21,23,writing
22,24,writing
23,24,writing
24,25,writing
25,26,writing
26,26,writing
27,27,writing
28,27,writing
29,28,writing
30,29,writing
31,29,writing
32,30,writing
33,31,writing
34,31,writing
35,32,writing
36,33,writing
37,33,writing
38,34,writing
39,35,writing
40,36,writing
41,37,writing
42,38,writing
43,39,writing
44,40,writing
0,20,math
1,21,math
2,22,math
3,24,math
4,26,math
5,28,math
6,30,math
7,31,math
8,33,math
9,34,math
10,36,math
11,37,math
12,38,math
13,39,math
14,40,math
15,41,math
16,42,math
17,43,math
18,44,math
19,45,math
20,46,math
21,47,math
22,48,math
23,49,math
24,50,math
25,51,math
26,52,math
27,52,math
28,53,math
29,53,math
30,54,math
31,55,math
32,56,math
33,56,math
34,57,math
35,58,math
36,59,math
37,59,math
38,60,math
39,61,math
40,61,math
41,62,math
42,63,math
43,64,math
44,65,math
45,65,math
46,66,math
47,67,math
48,68,math
49,69,math
50,70,math
51,71,math
52,72,math
53,74,math
54,75,math
55,77,math
56,78,math
57,79,math
58,80,math
